item,word,ipa,c1,c1phonation,vowel,anteropost,height,c2,c2phonation,c2place,language
1,pata,pata,p,voiceless,a,central,low,t,voiceless,coronal,italian
2,pada,pada,p,voiceless,a,central,low,d,voiced,coronal,italian
3,paca,paka,p,voiceless,a,central,low,k,voiceless,velar,italian
4,paga,paga,p,voiceless,a,central,low,g,voiced,velar,italian
5,bata,bata,b,voiced,a,central,low,t,voiceless,coronal,italian
6,bada,bada,b,voiced,a,central,low,d,voiced,coronal,italian
7,baca,baka,b,voiced,a,central,low,k,voiceless,velar,italian
8,baga,baga,b,voiced,a,central,low,g,voiced,velar,italian
9,poto,poto,p,voiceless,o,back,mid,t,voiceless,coronal,italian
10,podo,podo,p,voiceless,o,back,mid,d,voiced,coronal,italian
11,poco,poko,p,voiceless,o,back,mid,k,voiceless,velar,italian
12,pogo,pogo,p,voiceless,o,back,mid,g,voiced,velar,italian
13,boto,boto,b,voiced,o,back,mid,t,voiceless,coronal,italian
14,bodo,bodo,b,voiced,o,back,mid,d,voiced,coronal,italian
15,boco,boko,b,voiced,o,back,mid,k,voiceless,velar,italian
16,bogo,bogo,b,voiced,o,back,mid,g,voiced,velar,italian
17,putu,putu,p,voiceless,u,back,high,t,voiceless,coronal,italian
18,pudu,pudu,p,voiceless,u,back,high,d,voiced,coronal,italian
19,pucu,puku,p,voiceless,u,back,high,k,voiceless,velar,italian
20,pugu,pugu,p,voiceless,u,back,high,g,voiced,velar,italian
21,butu,butu,b,voiced,u,back,high,t,voiceless,coronal,italian
22,budu,budu,b,voiced,u,back,high,d,voiced,coronal,italian
23,bucu,buku,b,voiced,u,back,high,k,voiceless,velar,italian
24,bugu,bugu,b,voiced,u,back,high,g,voiced,velar,italian
25,pata,pata,p,voiceless,a,central,low,t,voiceless,coronal,polish
26,pada,pada,p,voiceless,a,central,low,d,voiced,coronal,polish
27,paka,paka,p,voiceless,a,central,low,k,voiceless,velar,polish
28,paga,paga,p,voiceless,a,central,low,g,voiced,velar,polish
29,bata,bata,b,voiced,a,central,low,t,voiceless,coronal,polish
30,bada,bada,b,voiced,a,central,low,d,voiced,coronal,polish
31,baka,baka,b,voiced,a,central,low,k,voiceless,velar,polish
32,baga,baga,b,voiced,a,central,low,g,voiced,velar,polish
33,poto,poto,p,voiceless,o,back,mid,t,voiceless,coronal,polish
34,podo,podo,p,voiceless,o,back,mid,d,voiced,coronal,polish
35,poko,poko,p,voiceless,o,back,mid,k,voiceless,velar,polish
36,pogo,pogo,p,voiceless,o,back,mid,g,voiced,velar,polish
37,boto,boto,b,voiced,o,back,mid,t,voiceless,coronal,polish
38,bodo,bodo,b,voiced,o,back,mid,d,voiced,coronal,polish
39,boko,boko,b,voiced,o,back,mid,k,voiceless,velar,polish
40,bogo,bogo,b,voiced,o,back,mid,g,voiced,velar,polish
41,putu,putu,p,voiceless,u,back,high,t,voiceless,coronal,polish
42,pudu,pudu,p,voiceless,u,back,high,d,voiced,coronal,polish
43,puku,puku,p,voiceless,u,back,high,k,voiceless,velar,polish
44,pugu,pugu,p,voiceless,u,back,high,g,voiced,velar,polish
45,butu,butu,b,voiced,u,back,high,t,voiceless,coronal,polish
46,budu,budu,b,voiced,u,back,high,d,voiced,coronal,polish
47,buku,buku,b,voiced,u,back,high,k,voiceless,velar,polish
48,bugu,bugu,b,voiced,u,back,high,g,voiced,velar,polish
